"q", 5, 32, 3, 100, 6, "24/07/2019 12:18:50", 1563963530.79, 1.0, 18340, 18457, 18398, 0.7257906215921484, 0.7152299940402016, 0.7151864333079683
"r", 5, 64, 3, 100, 7, "24/07/2019 12:18:55", 1563963535.01, 1.0, 18340, 18457, 18398, 0.7300436205016357, 0.7078073359700926, 0.7143711272964453
"p", 5, 16, 3, 100, 5, "24/07/2019 12:18:57", 1563963537.08, 1.0, 18340, 18457, 18398, 0.750381679389313, 0.7262285311805818, 0.7298075877812805
"t", 5, 256, 3, 100, 8, "24/07/2019 12:19:20", 1563963560.76, 1.0, 18340, 18457, 18398, 0.5597600872410032, 0.5551281356666847, 0.5586476790955539
"s", 5, 128, 3, 100, 8, "24/07/2019 12:19:34", 1563963574.67, 1.0, 18340, 18457, 18398, 0.6356052344601963, 0.6279460367340305, 0.6318621589303185
"o", 5, 8, 3, 100, 4, "24/07/2019 12:20:06", 1563963606.92, 1.0, 18340, 18457, 18398, 0.8046892039258452, 0.7808419569810912, 0.7824763561256658
"r", 5, 64, 3, 100, 8, "24/07/2019 12:20:10", 1563963610.54, 1.0, 18340, 18457, 18398, 0.7487459105779717, 0.7239529717722274, 0.7271442548103054
"q", 5, 32, 3, 100, 7, "24/07/2019 12:20:22", 1563963622.53, 1.0, 18340, 18457, 18398, 0.7226281352235551, 0.7060193964349569, 0.7057832373084031
"t", 5, 256, 3, 100, 9, "24/07/2019 12:20:27", 1563963627.82, 1.0, 18340, 18457, 18398, 0.5695201744820065, 0.5671560925394159, 0.5671812153494945
"p", 5, 16, 3, 100, 6, "24/07/2019 12:20:45", 1563963645.08, 1.0, 18340, 18457, 18398, 0.7654307524536532, 0.7421032670531506, 0.7452440482661159
"s", 5, 128, 3, 100, 9, "24/07/2019 12:20:45", 1563963645.72, 1.0, 18340, 18457, 18398, 0.663958560523446, 0.6505390908598364, 0.6571909990216328
"r", 5, 64, 3, 100, 9, "24/07/2019 12:21:28", 1563963688.68, 1.0, 18340, 18457, 18398, 0.7679934569247546, 0.743837026602373, 0.7490488096532232
"t", 5, 256, 3, 100, 10, "24/07/2019 12:21:37", 1563963697.4, 1.0, 18340, 18457, 18398, 0.591330425299891, 0.5846020480034675, 0.585389716273508
"q", 5, 32, 3, 100, 8, "24/07/2019 12:21:47", 1563963707.58, 1.0, 18340, 18457, 18398, 0.7540348964013086, 0.7387441079265319, 0.7402435047287749
"s", 5, 128, 3, 100, 10, "24/07/2019 12:21:58", 1563963718.29, 1.0, 18340, 18457, 18398, 0.6676663031624863, 0.6540066099582814, 0.6579519512990543
"o", 5, 8, 3, 100, 5, "24/07/2019 12:22:33", 1563963753.76, 1.0, 18340, 18457, 18398, 0.8435659760087241, 0.814596088205017, 0.8183498206326775
"p", 5, 16, 3, 100, 7, "24/07/2019 12:22:34", 1563963754.16, 1.0, 18340, 18457, 18398, 0.8105234460196292, 0.7790540174459555, 0.7806826829003153
"r", 5, 64, 3, 100, 10, "24/07/2019 12:22:46", 1563963766.06, 1.0, 18340, 18457, 18398, 0.7727371864776444, 0.7463293059543804, 0.7512229590172845
"t", 5, 256, 3, 100, 11, "24/07/2019 12:22:49", 1563963769.38, 1.0, 18340, 18457, 18398, 0.6035441657579063, 0.595383865200195, 0.5967496467007284
"n", 5, 1, 3, 100, 1, "24/07/2019 12:22:59", 1563963779.61, 1.0, 18340, 18457, 18398, 0.6902399127589968, 0.6799046432247927, 0.6783889553212306
